"fed_2012","licences","ratio","age","sex","federation"
124,122,4.01606425702811,"20_29","h","Fédération Française de tennis de Table"
124,0,0,"0_4","all","Fédération Française de tennis de Table"
124,0,0,"75_99","f","Fédération Française de tennis de Table"
124,57,4.62812601493992,"60_74","h","Fédération Française de tennis de Table"
124,13,1.90141875091414,"10_14","f","Fédération Française de tennis de Table"
124,6,0.833796553640912,"5_9","f","Fédération Française de tennis de Table"
124,29,1.11882716049383,"45_59","f","Fédération Française de tennis de Table"
124,0,0,"0_4","f","Fédération Française de tennis de Table"
124,128,5.66021048907756,"45_59","h","Fédération Française de tennis de Table"
124,207,15.0348634514817,"10_14","all","Fédération Française de tennis de Table"
124,24,3.24631408088733,"75_99","h","Fédération Française de tennis de Table"
124,157,3.23484567519677,"45_59","all","Fédération Française de tennis de Table"
124,148,2.40419759905132,"20_29","all","Fédération Française de tennis de Table"
124,12,1.0603516833083,"15_19","f","Fédération Française de tennis de Table"
124,122,5.68738054169969,"15_19","all","Fédération Française de tennis de Table"
124,212,3.7279313497925,"30_44","all","Fédération Française de tennis de Table"
124,61,2.08654010603728,"60_74","all","Fédération Française de tennis de Table"
124,15,0.544780998038788,"30_44","f","Fédération Française de tennis de Table"
124,26,0.8338411211956,"20_29","f","Fédération Française de tennis de Table"
124,24,1.05969622041681,"75_99","all","Fédération Française de tennis de Table"
124,105,0.699254128929142,"all","f","Fédération Française de tennis de Table"
128,461,66.5031736872476,"10_14","h","Fédération Française de voile"
128,2168,16.083205365025,"all","h","Fédération Française de voile"
128,3101,10.8822672735376,"all","all","Fédération Française de voile"
128,189,18.6500888099467,"15_19","h","Fédération Française de voile"
128,488,33.8325013865779,"5_9","all","Fédération Française de voile"
128,9,0.531914893617021,"60_74","f","Fédération Française de voile"
128,152,13.4311213219051,"15_19","f","Fédération Française de voile"
128,12,0.72855321474106,"0_4","all","Fédération Française de voile"
128,314,43.4421693414499,"5_9","h","Fédération Française de voile"
128,320,10.5339390348278,"20_29","h","Fédération Française de voile"
128,4,0.499937507811524,"0_4","f","Fédération Française de voile"
128,174,24.1801000555864,"5_9","f","Fédération Française de voile"
128,386,13.1587918456399,"30_44","h","Fédération Française de voile"
128,8,0.944510035419126,"0_4","h","Fédération Française de voile"
128,439,9.04520542300243,"45_59","all","Fédération Française de voile"
